map_id,map_size,algorithm,time,length,map_string
13,11,BFS,0.03367257118225098,17,[1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1]
14,12,A*,0.003742218017578125,19,[1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1]
14,12,DFS,0.07504582405090332,1241,[1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1]
14,12,BFS,0.12476134300231934,19,[1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1]
15,12,A*,0.010803937911987305,19,[1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1]
15,12,DFS,0.09005069732666016,1241,[1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1]
15,12,BFS,0.04877638816833496,19,[1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1]
16,13,A*,0.004559040069580078,21,[1 1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1 1]
16,13,DFS,0.11231756210327148,1883,[1 1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1 1]
16,13,BFS,0.10197663307189941,21,[1 1 1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1 1 1]
